episode,reward,success,collision,steps,epsilon,final_distance
0,-51.380220870971655,0,0,129,0.995,7.66255521774292
1,-62.09196843067667,0,0,300,0.990025,5.427793025970459
2,-77.175479888916,0,0,80,0.985074875,8.231369972229004
3,-56.073469696044896,0,0,146,0.9801495006250001,6.8158674240112305
4,-65.34917121887204,0,0,179,0.9752487531218751,7.197292804718018
5,-40.72817817687988,0,0,99,0.9703725093562657,7.392044544219971
6,-46.012129851183595,0,0,80,0.9655206468094844,7.733231544494629
7,-45.33075492858885,0,0,86,0.960693043575437,7.787688732147217
8,-55.86130035400389,0,0,138,0.9558895783575597,7.245325088500977
9,-70.5030503845214,0,0,199,0.9511101304657719,7.485762596130371
10,-43.88600074768067,0,0,84,0.946354579813443,7.441500186920166
11,-49.803051605224596,0,0,126,0.9416228069143757,7.540762901306152
12,-56.24944442749023,0,0,80,0.9369146928798039,7.952361106872559
13,-90.25504776000965,0,0,240,0.9322301194154049,6.761261940002441
14,-49.63454963684081,0,0,137,0.9275689688183278,7.528637409210205
15,-45.521138458251954,0,0,95,0.9229311239742362,7.685284614562988
16,-45.93720878601074,0,0,123,0.918316468354365,7.6993021965026855
17,-42.37560317993163,0,0,90,0.9137248860125932,7.41140079498291
18,-61.346882400512634,0,0,211,0.9091562615825302,6.446720600128174
19,-55.583268051147364,0,0,300,0.9046104802746175,5.800817012786865
20,-71.31572085460152,0,0,233,0.9000874278732445,7.124129295349121
21,-66.88869425853221,0,0,214,0.8955869907338783,6.727372646331787
22,-96.22398452758769,0,0,280,0.8911090557802088,6.480996131896973
23,-62.29275752147167,0,0,192,0.8866535105013078,6.69338846206665
24,-42.72081726074218,0,0,148,0.8822202429488013,6.572704315185547
25,-67.0895518787714,0,0,300,0.8778091417340573,6.032587051391602
26,-59.1409438323973,0,0,300,0.8734200960253871,6.642735958099365
27,-64.27211146434276,0,0,160,0.8690529955452602,7.740726947784424
28,-55.60176147460935,0,0,195,0.8647077305675338,6.302940368652344
29,-70.15476550181825,0,0,300,0.8603841919146962,6.68889045715332
30,-41.366458006701194,0,0,99,0.8560822709551227,7.071813583374023
31,-42.149919815063456,0,0,135,0.851801859600347,6.707479953765869
32,-67.72104034423816,0,0,300,0.8475428503023453,6.46776008605957
33,-96.97028945922833,0,0,295,0.8433051360508336,6.995072364807129
34,-59.179956541857344,0,0,300,0.8390886103705794,5.827688217163086
35,-52.22262347300979,0,0,145,0.8348931673187264,7.145854949951172
36,-60.97890307506052,0,0,219,0.8307187014821328,6.674924850463867
37,-52.03271636962888,0,0,175,0.8265651079747222,6.983179092407227
38,-40.04415725708008,0,0,83,0.8224322824348486,7.5135393142700195
39,-81.42587745666489,0,0,300,0.8183201210226743,5.13646936416626
40,-50.482068892321294,0,0,142,0.8142285204175609,7.275716304779053
41,-48.01481707652539,0,0,147,0.810157377815473,7.168903350830078
42,-49.00567878723141,0,0,187,0.8061065909263957,6.841419696807861
43,-45.81891410827636,0,0,118,0.8020760579717637,7.034728527069092
44,-61.49154734691109,0,0,300,0.798065677681905,6.308085918426514
45,-58.96539932250968,0,0,300,0.7940753492934954,6.038849830627441
46,-57.18035914500684,0,0,179,0.7901049725470279,6.6002888679504395
47,-77.01056353648626,0,0,279,0.7861544476842928,6.8328399658203125
48,-56.57264793395989,0,0,300,0.7822236754458713,6.86066198348999
49,-70.1412282562255,0,0,264,0.778312557068642,6.2078070640563965
50,-63.31932144165027,0,0,300,0.7744209942832988,5.567330360412598
51,-194.93894668579097,0,1,241,0.7705488893118823,4.494736671447754
52,-65.79547126770015,0,0,190,0.7666961448653229,6.428867816925049
53,-62.27869377136218,0,0,300,0.7628626641409962,5.794673442840576
54,-57.511704283556575,0,0,300,0.7590483508202912,5.668125152587891
55,-41.563429747423854,0,0,88,0.7552531090661897,7.4735565185546875
56,-38.121979827880864,0,0,87,0.7514768435208588,7.500494956970215
57,-52.413963317871016,0,0,300,0.7477194593032545,5.790990829467773
58,-60.28371559143055,0,0,300,0.7439808620067382,6.668428897857666
59,-58.652161055407184,0,0,300,0.7402609576967045,6.553239345550537
60,-65.49067729075875,0,0,228,0.736559652908221,7.012868404388428
61,-50.169465408325095,0,0,300,0.7328768546436799,6.264866352081299
62,-59.1588945301386,0,0,300,0.7292124703704616,6.352422714233398
63,-37.763711166381846,0,0,106,0.7255664080186093,7.015927791595459
64,-84.2157398223875,0,0,300,0.7219385759785162,4.591434955596924
65,-49.52688746531934,0,0,143,0.7183288830986236,6.9919209480285645
66,-64.59931030273428,0,0,293,0.7147372386831305,5.862327575683594
67,-56.23003692626951,0,0,300,0.7111635524897149,4.257509231567383
68,-59.60657618602242,0,0,300,0.7076077347272662,5.591843128204346
69,-47.67130592346185,0,0,300,0.7040696960536299,5.7853264808654785
